loan_amnt,term,int_rate,grade,annual_inc,loan_status,purpose,dti,pub_rec,revol_util,annual_inc_range,loan_amnt_range,int_rate_range,revol_util_range,dti_range
14575, 36 months,10.65,B,35000,0,credit_card,16.46,0,58.5,25k-50k,10k-15k,10-12.5,40-60,15-20%
9000, 36 months,7.51,A,50000,0,debt_consolidation,4.44,0,34.1,25k-50k,5k-10k,7.5-10,20-40,0-5%
10000, 36 months,13.49,C,30000,1,debt_consolidation,20.96,0,32,25k-50k,5k-10k,12.5-15,20-40,20-25%
7125, 36 months,17.58,D,25279.67,0,credit_card,16.8,0,93.1,25k-50k,5k-10k,15+,80+,15-20%
15000, 60 months,10.65,B,29000,0,debt_consolidation,15.14,0,81,25k-50k,10k-15k,10-12.5,80+,15-20%
13000, 36 months,13.49,C,65000,0,debt_consolidation,17.11,0,81.1,50k-75k,10k-15k,12.5-15,80+,15-20%
18000, 60 months,20.3,E,68000,0,credit_card,17.98,0,52.4,50k-75k,15k-20k,15+,40-60,15-20%
30000, 60 months,14.27,C,90000,0,small_business,19.12,0,49,75k-100k,25k+,12.5-15,40-60,15-20%
21600, 36 months,17.27,D,58600,1,home_improvement,10.85,0,95.3,50k-75k,20k-25k,15+,80+,10-15%
7000, 36 months,12.42,B,85000,0,credit_card,15.11,0,72.3,75k-100k,5k-10k,10-12.5,60-80,15-20%
7000, 36 months,8.9,A,45000,0,debt_consolidation,24.48,0,71.1,25k-50k,5k-10k,7.5-10,60-80,20-25%
3600, 36 months,17.27,D,44004,0,other,5.59,0,75.7,25k-50k,0-5k,15+,60-80,5-10%
3500, 36 months,12.69,B,84996,0,major_purchase,5.36,0,45.7,75k-100k,0-5k,12.5-15,40-60,5-10%
5000, 36 months,8.9,A,33000,0,medical,16.47,0,29.7,25k-50k,0-5k,7.5-10,20-40,15-20%
10000, 36 months,11.71,B,60000,0,debt_consolidation,17.3,0,87.2,50k-75k,5k-10k,10-12.5,80+,15-20%
4500, 36 months,13.49,C,19200,0,credit_card,19.56,0,67.8,0-25k,0-5k,12.5-15,60-80,15-20%
12000, 36 months,11.71,B,62000,0,debt_consolidation,6.74,0,90.9,50k-75k,10k-15k,10-12.5,80+,5-10%
12000, 60 months,19.03,E,38500,0,debt_consolidation,10.91,0,85,25k-50k,10k-15k,15+,80+,10-15%
10700, 36 months,12.42,B,68000,0,debt_consolidation,16.41,0,66.6,50k-75k,10k-15k,10-12.5,60-80,15-20%
6000, 36 months,10.65,B,30000,0,credit_card,19.36,0,78.6,25k-50k,5k-10k,10-12.5,60-80,15-20%
20000, 36 months,7.9,A,50000,0,wedding,12.84,0,39.8,25k-50k,15k-20k,7.5-10,20-40,10-15%
10800, 60 months,16.77,D,23000,0,debt_consolidation,11.22,0,64.2,0-25k,10k-15k,15+,60-80,10-15%
25000, 60 months,19.03,E,50400,0,debt_consolidation,20.67,0,61.5,50k-75k,20k-25k,15+,60-80,20-25%
20000, 60 months,14.27,C,110000,0,debt_consolidation,10.3,0,79.8,100k+,15k-20k,12.5-15,60-80,10-15%
3600, 36 months,13.49,C,40000,0,vacation,12.99,0,83.1,25k-50k,0-5k,12.5-15,80+,10-15%
6000, 36 months,8.9,A,83954,0,debt_consolidation,17.48,0,78.1,75k-100k,5k-10k,7.5-10,60-80,15-20%
10375, 36 months,14.27,C,35000,0,credit_card,22.39,0,65.9,25k-50k,10k-15k,12.5-15,60-80,20-25%
25000, 36 months,8.9,A,60000,0,debt_consolidation,25.4,0,68.7,50k-75k,20k-25k,7.5-10,60-80,25%+
10000, 36 months,16.29,D,40000,0,debt_consolidation,19.98,0,78.7,25k-50k,5k-10k,15+,60-80,15-20%
6000, 36 months,12.42,B,92000,0,car,10.6,0,82.5,75k-100k,5k-10k,10-12.5,80+,10-15%
8000, 36 months,7.9,A,75000,0,debt_consolidation,8.7,0,55.4,50k-75k,5k-10k,7.5-10,40-60,5-10%
10000, 36 months,11.71,B,45000,0,debt_consolidation,12.48,0,48.1,25k-50k,5k-10k,10-12.5,40-60,10-15%
11000, 36 months,7.51,A,48000,0,debt_consolidation,24.1,0,62.3,25k-50k,10k-15k,7.5-10,60-80,20-25%
5000, 36 months,9.91,B,110000,0,debt_consolidation,6.38,0,70.3,100k+,0-5k,7.5-10,60-80,5-10%
6500, 36 months,10.65,B,30600,0,debt_consolidation,13.45,0,62.9,25k-50k,5k-10k,10-12.5,60-80,10-15%
20000, 60 months,20.3,E,69000,0,credit_card,18.02,0,89.6,50k-75k,15k-20k,15+,80+,15-20%
12000, 36 months,12.69,B,45000,0,debt_consolidation,8.85,0,70,25k-50k,10k-15k,12.5-15,60-80,5-10%
8250, 60 months,19.91,E,27500,1,wedding,20.25,0,79.7,25k-50k,5k-10k,15+,60-80,20-25%
8400, 36 months,16.77,D,32000,0,credit_card,16.95,0,74.9,25k-50k,5k-10k,15+,60-80,15-20%
7000, 36 months,12.69,B,37500,0,debt_consolidation,21.38,0,73.9,25k-50k,5k-10k,12.5-15,60-80,20-25%
12000, 36 months,12.42,B,60000,1,car,6.3,0,78.7,50k-75k,10k-15k,10-12.5,60-80,5-10%
7200, 36 months,11.71,B,33000,1,credit_card,12.69,0,70.3,25k-50k,5k-10k,10-12.5,60-80,10-15%
12000, 36 months,10.65,B,70000,0,debt_consolidation,26.06,0,60.1,50k-75k,10k-15k,10-12.5,60-80,25%+
12800, 60 months,14.27,C,75000,0,credit_card,16.75,0,67,50k-75k,10k-15k,12.5-15,60-80,15-20%
3050, 36 months,9.91,B,16800,0,car,3.5,0,86.3,0-25k,0-5k,7.5-10,80+,0-5%
9000, 36 months,14.65,C,38000,0,debt_consolidation,19.55,0,92.2,25k-50k,5k-10k,12.5-15,80+,15-20%
10000, 36 months,11.71,B,35000,1,debt_consolidation,11.79,0,78.2,25k-50k,5k-10k,10-12.5,60-80,10-15%
10000, 36 months,9.91,B,95000,0,debt_consolidation,18.37,0,31.2,75k-100k,5k-10k,7.5-10,20-40,15-20%
10000, 36 months,14.27,C,77400,1,credit_card,20.05,0,87.6,75k-100k,5k-10k,12.5-15,80+,20-25%
8500, 36 months,16.29,D,61000,0,debt_consolidation,11.76,0,83.9,50k-75k,5k-10k,15+,80+,10-15%
7200, 60 months,13.49,C,67000,0,debt_consolidation,11.84,0,79.9,50k-75k,5k-10k,12.5-15,60-80,10-15%
21000, 60 months,14.27,C,90000,0,credit_card,8.76,0,82.2,75k-100k,20k-25k,12.5-15,80+,5-10%
27000, 36 months,9.91,B,140000,0,debt_consolidation,7.44,0,27.2,100k+,25k+,7.5-10,20-40,5-10%
28625, 60 months,20.3,E,55000,0,debt_consolidation,21.25,0,95.9,50k-75k,25k+,15+,80+,20-25%
4000, 36 months,14.27,C,32400,0,debt_consolidation,5.41,1,65.9,25k-50k,0-5k,12.5-15,60-80,5-10%
7300, 36 months,11.71,B,50000,0,other,12.79,0,37.3,25k-50k,5k-10k,10-12.5,20-40,10-15%
18000, 36 months,8.9,A,70000,0,credit_card,17.76,0,34.3,50k-75k,15k-20k,7.5-10,20-40,15-20%
5000, 36 months,11.71,B,35000,0,other,19.37,0,35.5,25k-50k,0-5k,10-12.5,20-40,15-20%
10000, 36 months,14.27,C,115000,0,home_improvement,24.34,0,71.2,100k+,5k-10k,12.5-15,60-80,20-25%
3000, 36 months,7.9,A,45000,0,debt_consolidation,19.39,0,63.2,25k-50k,0-5k,7.5-10,60-80,15-20%
10000, 36 months,14.65,C,36000,0,credit_card,9.6,0,57.2,25k-50k,5k-10k,12.5-15,40-60,5-10%
12000, 36 months,7.9,A,26000,0,credit_card,12.83,0,61,25k-50k,10k-15k,7.5-10,60-80,10-15%
10000, 36 months,17.27,D,80000,0,small_business,5.73,0,91,75k-100k,5k-10k,15+,80+,5-10%
11000, 36 months,8.9,A,50000,0,debt_consolidation,14.09,0,74.8,25k-50k,10k-15k,7.5-10,60-80,10-15%
10000, 36 months,15.27,C,55000,0,small_business,0.89,0,18.1,50k-75k,5k-10k,15+,0-20,0-5%
5000, 36 months,6.62,A,55000,0,debt_consolidation,4.12,0,47.1,50k-75k,0-5k,0-7.5,40-60,0-5%
5000, 36 months,6.03,A,64424,0,other,0.93,0,0.7,50k-75k,0-5k,0-7.5,0-20,0-5%
5000, 36 months,8.9,A,56000,0,debt_consolidation,15.47,0,79,50k-75k,0-5k,7.5-10,60-80,15-20%
6000, 36 months,14.27,C,30000,1,credit_card,15.68,0,96.9,25k-50k,5k-10k,12.5-15,80+,15-20%
5000, 36 months,14.27,C,111740,0,vacation,20.62,0,93.1,100k+,0-5k,12.5-15,80+,20-25%
20050, 36 months,17.58,D,67500,0,credit_card,24.84,0,81.1,50k-75k,20k-25k,15+,80+,20-25%
7000, 36 months,16.77,D,41000,1,wedding,20.31,0,97.8,25k-50k,5k-10k,15+,80+,20-25%
25000, 36 months,10.65,B,120000,0,debt_consolidation,6.17,0,54.3,100k+,20k-25k,10-12.5,40-60,5-10%
3000, 36 months,12.69,B,30000,1,debt_consolidation,15.4,0,94.8,25k-50k,0-5k,12.5-15,80+,15-20%
8400, 36 months,17.27,D,41500,0,credit_card,15.07,0,77.4,25k-50k,5k-10k,15+,60-80,15-20%
24925, 60 months,23.91,G,60000,0,credit_card,17.74,0,98.9,50k-75k,20k-25k,15+,80+,15-20%
12000, 60 months,14.27,C,80000,0,credit_card,6.51,0,78.7,75k-100k,10k-15k,12.5-15,60-80,5-10%
12000, 36 months,12.42,B,42000,0,credit_card,21.49,0,67.5,25k-50k,10k-15k,10-12.5,60-80,20-25%
13200, 36 months,11.71,B,41600,1,debt_consolidation,9.55,0,77.6,25k-50k,10k-15k,10-12.5,60-80,5-10%
6000, 36 months,6.03,A,48000,0,major_purchase,15.25,0,15.3,25k-50k,5k-10k,0-7.5,0-20,15-20%
10000, 36 months,6.62,A,50000,0,credit_card,13.42,0,38.6,25k-50k,5k-10k,0-7.5,20-40,10-15%
17500, 60 months,12.42,B,70000,0,credit_card,16.7,0,67.3,50k-75k,15k-20k,10-12.5,60-80,15-20%
6500, 36 months,10.65,B,53000,0,debt_consolidation,20.81,0,80.3,50k-75k,5k-10k,10-12.5,80+,20-25%
10000, 36 months,7.51,A,65000,0,small_business,8.55,0,12.8,50k-75k,5k-10k,7.5-10,0-20,5-10%
12000, 36 months,9.91,B,85000,0,debt_consolidation,10.38,0,45.3,75k-100k,10k-15k,7.5-10,40-60,10-15%
10000, 36 months,14.27,C,55000,0,debt_consolidation,22.1,0,54.3,50k-75k,5k-10k,12.5-15,40-60,20-25%
12375, 36 months,14.27,C,36000,0,credit_card,23.03,0,91.3,25k-50k,10k-15k,12.5-15,80+,20-25%
10000, 36 months,10.65,B,26000,0,debt_consolidation,9.78,0,61,25k-50k,5k-10k,10-12.5,60-80,5-10%
20000, 60 months,18.25,D,70000,1,small_business,18.41,0,71.2,50k-75k,15k-20k,15+,60-80,15-20%
4400, 36 months,19.03,E,80000,0,small_business,2.65,0,99.1,75k-100k,0-5k,15+,80+,0-5%
25000, 36 months,13.49,C,80000,0,debt_consolidation,14.65,0,71.7,75k-100k,20k-25k,12.5-15,60-80,10-15%
13600, 60 months,12.69,B,62000,0,debt_consolidation,11.98,0,53.5,50k-75k,10k-15k,12.5-15,40-60,10-15%
20000, 60 months,12.69,B,50000,0,credit_card,27.67,0,76.1,25k-50k,15k-20k,12.5-15,60-80,25%+
18000, 36 months,13.49,C,66000,1,debt_consolidation,12.87,0,42.9,50k-75k,15k-20k,12.5-15,40-60,10-15%
13000, 60 months,16.77,D,80000,0,debt_consolidation,4.96,0,84.5,75k-100k,10k-15k,15+,80+,0-5%
7200, 36 months,13.49,C,60000,0,debt_consolidation,22.22,0,50.6,50k-75k,5k-10k,12.5-15,40-60,20-25%
4000, 36 months,12.69,B,80000,0,other,21.66,0,97.3,75k-100k,0-5k,12.5-15,80+,20-25%
7000, 36 months,7.51,A,31000,0,credit_card,26.86,0,44.1,25k-50k,5k-10k,7.5-10,40-60,25%+
15000, 36 months,13.49,C,90000,0,other,6.93,0,71.8,75k-100k,10k-15k,12.5-15,60-80,5-10%
7200, 36 months,7.9,A,34000,0,debt_consolidation,17.51,1,48.8,25k-50k,5k-10k,7.5-10,40-60,15-20%
13000, 36 months,17.27,D,36000,0,debt_consolidation,10.9,0,80.9,25k-50k,10k-15k,15+,80+,10-15%
28000, 36 months,7.9,A,65000,0,credit_card,14.64,0,36.2,50k-75k,25k+,7.5-10,20-40,10-15%
12000, 36 months,9.91,B,35000,0,debt_consolidation,15.87,0,57.6,25k-50k,10k-15k,7.5-10,40-60,15-20%
16000, 60 months,17.58,D,50000,1,debt_consolidation,21.14,0,70.5,25k-50k,15k-20k,15+,60-80,20-25%
14000, 36 months,8.9,A,62004,0,other,9.08,0,69.9,50k-75k,10k-15k,7.5-10,60-80,5-10%
11500, 36 months,11.71,B,74000,0,debt_consolidation,7.96,0,84.1,50k-75k,10k-15k,10-12.5,80+,5-10%
10500, 36 months,14.65,C,42000,0,debt_consolidation,10.77,0,52.2,25k-50k,10k-15k,12.5-15,40-60,10-15%
14400, 36 months,12.42,B,48000,0,credit_card,20.68,0,42.6,25k-50k,10k-15k,10-12.5,40-60,20-25%
16000, 36 months,9.91,B,65000,0,debt_consolidation,10.36,0,94.3,50k-75k,15k-20k,7.5-10,80+,10-15%
5375, 36 months,9.91,B,15360,0,debt_consolidation,16.25,0,27.3,0-25k,5k-10k,7.5-10,20-40,15-20%
12000, 36 months,13.49,C,61000,0,credit_card,17.67,0,90.3,50k-75k,10k-15k,12.5-15,80+,15-20%
12000, 36 months,7.51,A,83000,1,debt_consolidation,8.36,0,82.7,75k-100k,10k-15k,7.5-10,80+,5-10%
17000, 36 months,6.03,A,120000,0,small_business,8.94,0,4.1,100k+,15k-20k,0-7.5,0-20,5-10%
30000, 60 months,19.03,E,106000,0,credit_card,15.72,0,74.2,100k+,25k+,15+,60-80,15-20%
13000, 36 months,20.3,E,42000,1,debt_consolidation,7.69,0,99.5,25k-50k,10k-15k,15+,80+,5-10%
7125, 36 months,7.51,A,30000,1,debt_consolidation,18.12,0,68,25k-50k,5k-10k,7.5-10,60-80,15-20%
8000, 36 months,14.65,C,72100,0,debt_consolidation,6.71,0,92.7,50k-75k,5k-10k,12.5-15,80+,5-10%
12500, 36 months,11.71,B,58000,0,debt_consolidation,17.32,0,79.3,50k-75k,10k-15k,10-12.5,60-80,15-20%
10000, 36 months,14.27,C,40000,0,car,18.69,0,87.5,25k-50k,5k-10k,12.5-15,80+,15-20%
14000, 36 months,10.65,B,48880,0,credit_card,21.95,0,73.7,25k-50k,10k-15k,10-12.5,60-80,20-25%
7500, 36 months,6.03,A,48000,0,debt_consolidation,5.08,0,30.8,25k-50k,5k-10k,0-7.5,20-40,5-10%
19200, 36 months,9.91,B,40000,0,debt_consolidation,11.37,0,67.6,25k-50k,15k-20k,7.5-10,60-80,10-15%
9000, 36 months,11.71,B,110000,0,debt_consolidation,13.06,0,65.2,100k+,5k-10k,10-12.5,60-80,10-15%
16000, 60 months,17.27,D,60000,0,credit_card,11.98,0,80.8,50k-75k,15k-20k,15+,80+,10-15%
20000, 36 months,8.9,A,65000,0,credit_card,14.99,0,44.5,50k-75k,15k-20k,7.5-10,40-60,10-15%
9000, 36 months,13.49,C,50000,0,debt_consolidation,1.99,0,42.4,25k-50k,5k-10k,12.5-15,40-60,0-5%
9600, 36 months,7.51,A,55000,1,debt_consolidation,27.34,0,74.8,50k-75k,5k-10k,7.5-10,60-80,25%+
12000, 60 months,12.69,B,63000,1,debt_consolidation,20.67,0,64.1,50k-75k,10k-15k,12.5-15,60-80,20-25%
1000, 36 months,13.49,C,35100,0,small_business,6.19,0,73.1,25k-50k,0-5k,12.5-15,60-80,5-10%
15000, 36 months,15.27,C,38000,1,credit_card,13.83,0,91.8,25k-50k,10k-15k,15+,80+,10-15%
12000, 36 months,16.77,D,38000,0,debt_consolidation,21.32,0,82.5,25k-50k,10k-15k,15+,80+,20-25%
14000, 36 months,8.9,A,108000,0,credit_card,27.86,0,44.8,100k+,10k-15k,7.5-10,40-60,25%+
15600, 60 months,15.96,C,43000,0,debt_consolidation,7.56,0,64.3,25k-50k,15k-20k,15+,60-80,5-10%
10000, 36 months,10.65,B,45000,0,debt_consolidation,11.41,0,88,25k-50k,5k-10k,10-12.5,80+,10-15%
7200, 36 months,12.69,B,23000,0,other,20.19,0,59.7,0-25k,5k-10k,12.5-15,40-60,20-25%
22250, 60 months,15.27,C,47532,1,debt_consolidation,23.76,0,58.1,25k-50k,20k-25k,15+,40-60,20-25%
11000, 36 months,9.91,B,32000,0,debt_consolidation,23.66,0,39,25k-50k,10k-15k,7.5-10,20-40,20-25%
9600, 36 months,8.9,A,55000,0,credit_card,17.02,0,66.6,50k-75k,5k-10k,7.5-10,60-80,15-20%
10000, 36 months,16.77,D,35000,0,debt_consolidation,18.55,0,53.7,25k-50k,5k-10k,15+,40-60,15-20%
11000, 36 months,9.91,B,74000,0,wedding,18.24,0,81.6,50k-75k,10k-15k,7.5-10,80+,15-20%
5000, 36 months,7.51,A,30000,0,credit_card,18.72,0,28.7,25k-50k,0-5k,7.5-10,20-40,15-20%
6000, 36 months,11.71,B,37000,1,small_business,6.68,0,88.6,25k-50k,5k-10k,10-12.5,80+,5-10%
3000, 36 months,13.49,C,105000,0,debt_consolidation,7.25,0,79.6,100k+,0-5k,12.5-15,60-80,5-10%
8200, 60 months,16.77,D,42000,1,credit_card,5.06,0,90,25k-50k,5k-10k,15+,80+,5-10%
17000, 36 months,12.42,B,80000,0,credit_card,16.65,0,81.2,75k-100k,15k-20k,10-12.5,80+,15-20%
5000, 36 months,10.65,B,35000,0,car,13.92,0,30.5,25k-50k,0-5k,10-12.5,20-40,10-15%
6400, 36 months,8.9,A,23000,0,debt_consolidation,10.75,0,89.8,0-25k,5k-10k,7.5-10,80+,10-15%
13000, 36 months,16.29,D,50000,0,debt_consolidation,8.33,0,98,25k-50k,10k-15k,15+,80+,5-10%
18000, 60 months,11.71,B,36000,0,debt_consolidation,22.03,0,68.9,25k-50k,15k-20k,10-12.5,60-80,20-25%
16000, 60 months,15.27,C,60000,0,debt_consolidation,17.7,0,57.7,50k-75k,15k-20k,15+,40-60,15-20%
13200, 60 months,17.27,D,40000,0,credit_card,24.36,0,61,25k-50k,10k-15k,15+,60-80,20-25%
10000, 36 months,16.77,D,38200,0,credit_card,17.09,0,75.5,25k-50k,5k-10k,15+,60-80,15-20%
15000, 60 months,15.96,C,37000,1,credit_card,20.14,0,83.7,25k-50k,10k-15k,15+,80+,20-25%
5000, 36 months,14.27,C,56000,0,debt_consolidation,10.03,0,90.2,50k-75k,0-5k,12.5-15,80+,10-15%
7200, 36 months,7.9,A,38000,0,credit_card,14.34,0,70.7,25k-50k,5k-10k,7.5-10,60-80,10-15%
15000, 36 months,7.9,A,43000,0,debt_consolidation,19.4,0,60.3,25k-50k,10k-15k,7.5-10,60-80,15-20%
15700, 60 months,19.42,E,60000,1,debt_consolidation,9.12,0,89.9,50k-75k,15k-20k,15+,80+,5-10%
5000, 60 months,21.28,F,46000,0,debt_consolidation,6.1,0,91,25k-50k,0-5k,15+,80+,5-10%
9600, 36 months,11.71,B,105000,0,debt_consolidation,10.19,0,93.9,100k+,5k-10k,10-12.5,80+,10-15%
16000, 60 months,19.91,E,107000,0,debt_consolidation,6.47,0,68.4,100k+,15k-20k,15+,60-80,5-10%
12000, 60 months,17.58,D,78000,1,debt_consolidation,13.18,0,45.2,75k-100k,10k-15k,15+,40-60,10-15%
6000, 36 months,10.65,B,24000,0,debt_consolidation,11.75,0,49.6,0-25k,5k-10k,10-12.5,40-60,10-15%
6000, 36 months,14.65,C,57600,0,other,23.42,0,52.9,50k-75k,5k-10k,12.5-15,40-60,20-25%
7150, 36 months,12.69,B,50000,0,credit_card,24.6,0,70.8,25k-50k,5k-10k,12.5-15,60-80,20-25%
13000, 60 months,19.42,E,55000,1,credit_card,19.09,0,47.8,50k-75k,10k-15k,15+,40-60,15-20%
8000, 36 months,15.27,C,108000,1,house,12.48,0,81.8,100k+,5k-10k,15+,80+,10-15%
7000, 36 months,8.9,A,97600,0,credit_card,7.97,0,91.8,75k-100k,5k-10k,7.5-10,80+,5-10%
12000, 36 months,6.62,A,70800,0,debt_consolidation,7.76,0,61.9,50k-75k,10k-15k,0-7.5,60-80,5-10%
10400, 36 months,14.65,C,45000,0,credit_card,11.31,0,61.9,25k-50k,10k-15k,12.5-15,60-80,10-15%
12000, 36 months,12.69,B,60000,0,credit_card,18.38,0,89.5,50k-75k,10k-15k,12.5-15,80+,15-20%
16000, 36 months,16.29,D,74000,0,credit_card,15.84,0,85.7,50k-75k,15k-20k,15+,80+,15-20%
4500, 36 months,10.65,B,91500,0,credit_card,11.67,0,48.5,75k-100k,0-5k,10-12.5,40-60,10-15%
5000, 36 months,12.42,B,42500,0,debt_consolidation,16.69,0,83.2,25k-50k,0-5k,10-12.5,80+,15-20%
3600, 36 months,16.29,D,45000,0,major_purchase,22.05,0,99.3,25k-50k,0-5k,15+,80+,20-25%
21000, 36 months,13.49,C,103000,0,debt_consolidation,12.41,0,86.2,100k+,20k-25k,12.5-15,80+,10-15%
7000, 36 months,14.27,C,42000,0,small_business,11.09,0,9.3,25k-50k,5k-10k,12.5-15,0-20,10-15%
27575, 60 months,12.69,B,63000,0,debt_consolidation,19.92,0,50.2,50k-75k,25k+,12.5-15,40-60,15-20%
15000, 36 months,7.9,A,35000,0,debt_consolidation,17.73,0,61.3,25k-50k,10k-15k,7.5-10,60-80,15-20%
2250, 36 months,13.49,C,16000,0,credit_card,18.75,0,61.2,0-25k,0-5k,12.5-15,60-80,15-20%
17050, 36 months,12.42,B,53000,0,debt_consolidation,23.64,0,59.4,50k-75k,15k-20k,10-12.5,40-60,20-25%
16500, 36 months,16.77,D,110000,0,debt_consolidation,10.22,0,70.2,100k+,15k-20k,15+,60-80,10-15%
3250, 36 months,12.42,B,16000,0,debt_consolidation,19.13,0,70.8,0-25k,0-5k,10-12.5,60-80,15-20%
7000, 36 months,7.9,A,38400,0,credit_card,9.34,0,26.5,25k-50k,5k-10k,7.5-10,20-40,5-10%
24000, 36 months,11.71,B,80000,0,debt_consolidation,13.26,0,66.4,75k-100k,20k-25k,10-12.5,60-80,10-15%
13200, 36 months,16.77,D,80952,0,credit_card,12.79,0,84.1,75k-100k,10k-15k,15+,80+,10-15%
22750, 36 months,8.9,A,65000,0,debt_consolidation,10.45,0,52.8,50k-75k,20k-25k,7.5-10,40-60,10-15%
12000, 36 months,8.9,A,70000,0,debt_consolidation,6.02,0,50,50k-75k,10k-15k,7.5-10,40-60,5-10%
1200, 36 months,12.69,B,34000,1,vacation,13.41,0,94.2,25k-50k,0-5k,12.5-15,80+,10-15%
4800, 36 months,8.9,A,35000,0,debt_consolidation,14.95,0,49.7,25k-50k,0-5k,7.5-10,40-60,10-15%
18000, 60 months,20.89,F,60000,0,debt_consolidation,20.74,0,94.7,50k-75k,15k-20k,15+,80+,20-25%
7200, 36 months,8.9,A,35000,0,debt_consolidation,15.02,0,68.1,25k-50k,5k-10k,7.5-10,60-80,15-20%
15000, 36 months,9.91,B,35000,0,debt_consolidation,15.15,0,52.9,25k-50k,10k-15k,7.5-10,40-60,15-20%
10500, 36 months,15.27,C,60000,0,debt_consolidation,9.92,0,80.7,50k-75k,10k-15k,15+,80+,5-10%
15000, 60 months,17.27,D,75000,0,other,16.21,0,74.9,50k-75k,10k-15k,15+,60-80,15-20%
5000, 36 months,7.9,A,66000,1,small_business,7.75,0,47.9,50k-75k,0-5k,7.5-10,40-60,5-10%
12800, 60 months,13.49,C,77000,0,debt_consolidation,8.74,0,70.1,75k-100k,10k-15k,12.5-15,60-80,5-10%
4000, 36 months,8.9,A,62000,0,small_business,13.16,0,52.3,50k-75k,0-5k,7.5-10,40-60,10-15%
14000, 60 months,12.42,B,73000,0,debt_consolidation,18.84,0,52,50k-75k,10k-15k,10-12.5,40-60,15-20%
27000, 36 months,11.71,B,130000,0,debt_consolidation,8.13,0,70.1,100k+,25k+,10-12.5,60-80,5-10%
15000, 36 months,12.42,B,61000,0,debt_consolidation,17.35,0,86.4,50k-75k,10k-15k,10-12.5,80+,15-20%
2400, 36 months,14.27,C,25000,0,debt_consolidation,17.71,0,35.2,0-25k,0-5k,12.5-15,20-40,15-20%
5900, 36 months,12.42,B,14400,0,debt_consolidation,6.17,0,46.4,0-25k,5k-10k,10-12.5,40-60,5-10%
5000, 36 months,11.71,B,70000,0,credit_card,13.78,0,36.1,50k-75k,0-5k,10-12.5,20-40,10-15%
13250, 36 months,17.58,D,35000,1,debt_consolidation,18.55,0,76.5,25k-50k,10k-15k,15+,60-80,15-20%
12600, 60 months,14.27,C,43200,0,debt_consolidation,18.61,0,52.5,25k-50k,10k-15k,12.5-15,40-60,15-20%
20000, 36 months,11.71,B,125000,0,debt_consolidation,14.95,0,56.8,100k+,15k-20k,10-12.5,40-60,10-15%
18000, 36 months,7.9,A,80000,0,credit_card,20.05,0,78.4,75k-100k,15k-20k,7.5-10,60-80,20-25%
19200, 36 months,16.77,D,87500,0,debt_consolidation,13.56,0,73.7,75k-100k,15k-20k,15+,60-80,10-15%
7000, 36 months,11.71,B,22000,0,debt_consolidation,17.45,0,25.7,0-25k,5k-10k,10-12.5,20-40,15-20%
25000, 60 months,15.96,C,80000,0,debt_consolidation,4.71,0,87.8,75k-100k,20k-25k,15+,80+,0-5%
10000, 36 months,6.03,A,70000,0,other,12.29,0,12.8,50k-75k,5k-10k,0-7.5,0-20,10-15%
23000, 36 months,9.91,B,63208,0,debt_consolidation,19.61,0,38.5,50k-75k,20k-25k,7.5-10,20-40,15-20%
6750, 36 months,17.27,D,48000,0,small_business,1,0,4.8,25k-50k,5k-10k,15+,0-20,0-5%
10000, 36 months,10.65,B,45500,0,credit_card,8.78,0,86.4,25k-50k,5k-10k,10-12.5,80+,5-10%
16000, 60 months,11.71,B,48000,0,debt_consolidation,10.75,0,71.2,25k-50k,15k-20k,10-12.5,60-80,10-15%
5600, 36 months,8.9,A,19200,0,credit_card,13.19,0,12.8,0-25k,5k-10k,7.5-10,0-20,10-15%
4800, 36 months,6.03,A,35000,0,other,14.61,0,15.1,25k-50k,0-5k,0-7.5,0-20,10-15%
25000, 60 months,14.65,C,63000,0,debt_consolidation,24.93,0,62.6,50k-75k,20k-25k,12.5-15,60-80,20-25%
10000, 36 months,11.71,B,29406,1,debt_consolidation,10.41,0,82.5,25k-50k,5k-10k,10-12.5,80+,10-15%
2200, 36 months,9.91,B,26004,1,debt_consolidation,14.95,0,61.6,25k-50k,0-5k,7.5-10,60-80,10-15%
24000, 36 months,12.69,B,120000,1,credit_card,13.9,0,83.3,100k+,20k-25k,12.5-15,80+,10-15%
16000, 36 months,7.9,A,110000,0,credit_card,8.69,0,16.2,100k+,15k-20k,7.5-10,0-20,5-10%
10000, 36 months,9.91,B,34000,0,credit_card,17.51,0,70.7,25k-50k,5k-10k,7.5-10,60-80,15-20%
10625, 36 months,14.27,C,26500,1,debt_consolidation,15.49,0,80.4,25k-50k,10k-15k,12.5-15,80+,15-20%
9600, 36 months,14.65,C,40000,0,credit_card,5.2,0,75.3,25k-50k,5k-10k,12.5-15,60-80,5-10%
12000, 36 months,8.9,A,100000,0,debt_consolidation,12.94,0,57.2,75k-100k,10k-15k,7.5-10,40-60,10-15%
5000, 36 months,12.42,B,45000,0,credit_card,4.21,0,81,25k-50k,0-5k,10-12.5,80+,0-5%
12000, 36 months,16.29,D,36000,0,credit_card,14,0,87.7,25k-50k,10k-15k,15+,80+,10-15%
18000, 36 months,17.27,D,80000,0,debt_consolidation,21.43,0,63.7,75k-100k,15k-20k,15+,60-80,20-25%
